Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2014,388,1,0,H4,9,1,,,9631093,0
2014,388,2,0,H4,9,1,,,22976747,0
2014,388,3,0,H4,9,1,,,1069268,0
2014,388,1,0,H4,901,8,451436,451436,2257301,0
2014,388,2,0,H4,901,8,548257,548257,15807257,0
2014,388,3,0,H4,901,8,13,13,6597,0
2014,388,1,0,H4,90111,8,321463,321463,1762253,0
2014,388,2,0,H4,90111,8,449360,449360,13485680,0
2014,388,3,0,H4,90111,8,11,11,6557,0
2014,388,1,0,H4,90112,8,129926,129926,493875,0
2014,388,2,0,H4,90112,8,23595,23595,254345,0
2014,388,1,0,H4,90121,8,34,34,1146,0
2014,388,2,0,H4,90121,8,62378,62378,1795720,0
2014,388,3,0,H4,90121,8,2,2,40,0
2014,388,1,0,H4,90122,8,13,13,27,0
2014,388,2,0,H4,90122,8,10990,10990,194570,0
2014,388,2,0,H4,90190,8,1934,1934,76942,0
2014,388,1,0,H4,902,8,287385,287385,2126164,0
2014,388,2,0,H4,902,8,482017,482017,2783584,0
2014,388,3,0,H4,902,8,142904,142904,804110,0
2014,388,1,0,H4,90210,8,111532,111532,1031396,0
2014,388,2,0,H4,90210,8,38692,38692,228065,0
2014,388,3,0,H4,90210,8,2093,2093,16953,0
2014,388,1,0,H4,90220,8,114529,114529,760171,0
2014,388,2,0,H4,90220,8,21658,21658,143283,0
2014,388,3,0,H4,90220,8,13856,13856,100453,0
2014,388,1,0,H4,90230,8,4660,4660,62378,0
2014,388,2,0,H4,90230,8,282784,282784,2107660,0
2014,388,3,0,H4,90230,8,125955,125955,677283,0
2014,388,1,0,H4,90240,8,56663,56663,272220,0
2014,388,2,0,H4,90240,8,138882,138882,304576,0
2014,388,3,0,H4,90240,8,1000,1000,9420,0
2014,388,2,0,H4,903,8,13,13,75,0
2014,388,3,0,H4,903,8,13,13,75,0
2014,388,2,0,H4,90300,8,13,13,75,0
2014,388,3,0,H4,90300,8,13,13,75,0
2014,388,1,0,H4,904,8,379935,379935,2598173,0
2014,388,2,0,H4,904,8,314632,314632,1944488,0
2014,388,1,0,H4,90411,8,171742,171742,1596840,0
2014,388,2,0,H4,90411,8,7071,7071,35317,0
2014,388,1,0,H4,90412,8,120180,120180,694121,0
2014,388,2,0,H4,90412,8,51668,51668,158403,0
2014,388,1,0,H4,90421,8,30278,30278,157482,0
2014,388,2,0,H4,90421,8,192598,192598,1389564,0
2014,388,1,0,H4,90422,8,57734,57734,149730,0
2014,388,2,0,H4,90422,8,63295,63295,361205,0
2014,388,1,0,H4,905,8,22896,22896,120938,0
2014,388,2,0,H4,905,8,7090,7090,16363,0
2014,388,3,0,H4,905,8,116,116,303,0
2014,388,1,0,H4,90510,8,9142,9142,44096,0
2014,388,2,0,H4,90510,8,7090,7090,16363,0
2014,388,3,0,H4,90510,8,116,116,303,0
